Date,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Month
2009-04-08,49.6,22.0,11.4,29.5,9.1,13.4,270.0,0.25,0.89,04
2009-04-09,37.4,47.0,16.3,29.6,10.5,15.0,277.0,0.25,0.89,04
2009-04-10,35.9,73.0,27.2,30.0,2.0,3.6,66.0,0.3,0.94,04
2009-04-11,35.0,77.0,28.2,29.8,1.7,2.8,340.0,0.31,0.95,04
2009-04-12,34.9,82.0,29.7,29.9,3.8,5.5,8.0,0.41,1.05,04
2009-04-13,42.7,45.0,20.7,29.9,7.1,10.3,267.0,0.41,1.05,04
2009-04-14,41.9,52.0,24.0,29.8,2.0,3.4,239.0,0.41,1.05,04
2009-04-15,43.4,54.0,25.3,29.6,2.8,4.5,61.0,0.41,1.05,04
2009-04-16,32.1,91.0,29.8,29.9,2.3,3.6,59.0,0.48,1.12,04
2009-04-17,30.8,92.0,28.8,30.1,0.0,0.0,50.0,0.55,1.19,04
2009-04-18,33.5,87.0,29.9,30.2,1.1,1.7,149.0,1.24,1.88,04
2009-04-19,37.4,58.0,22.0,30.4,4.5,6.5,263.0,1.3,1.94,04
2009-04-20,47.3,38.0,22.4,30.1,7.9,11.1,258.0,1.3,1.94,04
2009-04-21,51.7,35.0,23.2,30.0,6.8,10.0,269.0,1.3,1.94,04
2009-04-22,47.0,48.0,25.6,29.9,5.5,7.8,256.0,1.3,1.94,04
2009-04-23,52.1,35.0,21.6,29.7,5.6,8.0,256.0,1.3,1.94,04
2009-04-24,53.1,38.0,24.8,29.5,11.3,14.7,296.0,1.3,1.94,04
2009-04-25,34.7,90.0,31.9,29.8,2.2,3.8,69.0,1.42,2.06,04
2009-04-26,37.1,60.0,23.5,29.8,10.0,14.4,270.0,1.58,2.22,04
2009-04-27,31.2,80.0,25.1,30.1,4.1,6.4,112.0,1.8,2.44,04
2009-04-28,43.5,60.0,29.2,29.9,4.0,6.2,52.0,1.8,2.44,04
2009-04-29,52.7,30.0,19.6,29.7,8.1,11.3,245.0,1.8,2.44,04
2009-04-30,42.9,63.0,30.7,29.9,3.6,5.7,52.0,1.8,2.44,04
2009-05-01,37.2,87.0,33.6,30.1,4.0,5.7,50.0,0.07,2.51,05
2009-05-02,37.7,89.0,34.5,29.9,2.8,4.0,51.0,0.35,2.79,05
2009-05-03,42.1,69.0,31.1,29.9,5.7,7.9,304.0,0.41,2.85,05
2009-05-04,46.3,50.0,27.1,29.8,8.5,12.4,263.0,0.41,2.85,05
2009-05-05,48.9,51.0,31.0,29.7,7.6,11.3,269.0,0.49,2.93,05
2009-05-06,54.4,37.0,25.3,29.8,8.7,12.7,265.0,0.49,2.93,05
2009-05-07,57.3,30.0,24.6,29.6,7.1,10.8,273.0,0.49,2.93,05
2009-05-08,47.1,34.0,18.8,29.8,8.4,13.0,286.0,0.49,2.93,05
2009-05-09,42.7,54.0,26.4,30.0,3.5,5.7,69.0,0.61,3.05,05
2009-05-10,38.0,87.0,34.4,30.1,2.6,4.1,68.0,0.8,3.24,05
2009-05-11,51.1,59.0,33.4,29.9,3.0,5.0,26.0,0.8,3.24,05
2009-05-12,57.8,38.0,27.5,29.5,10.3,15.0,266.0,0.8,3.24,05
2009-05-13,51.6,23.0,14.1,29.7,11.2,16.0,265.0,0.8,3.24,05
2009-05-14,50.8,32.0,19.5,29.8,5.4,8.3,291.0,0.8,3.24,05
2009-05-15,52.6,40.0,27.1,29.8,10.1,13.3,340.0,0.8,3.24,05
2009-05-16,47.9,57.0,33.0,30.1,4.4,6.4,65.0,0.8,3.24,05
2009-05-17,54.2,44.0,28.1,30.1,3.1,27.7,10.0,0.8,3.24,05
2009-05-18,60.4,35.0,27.3,30.0,2.1,45.2,80.0,0.8,3.24,05
2009-05-19,61.9,32.0,28.8,29.7,7.7,65.8,304.0,0.8,3.24,05
2009-05-20,62.5,35.0,33.4,29.7,9.9,61.1,283.0,0.8,3.24,05
2009-05-21,50.6,72.0,41.5,29.9,3.2,13.8,69.0,0.8,3.24,05
2009-05-22,53.7,67.0,40.9,29.9,5.0,98.1,20.0,0.86,3.3,05
2009-05-23,48.9,83.0,43.9,30.0,2.4,3.6,50.0,1.07,3.51,05
2009-05-24,50.7,80.0,44.6,29.8,1.6,2.8,358.0,1.16,3.6,05
2009-05-25,50.1,68.0,39.2,29.8,6.8,9.4,300.0,1.53,3.97,05
2009-05-26,46.5,74.0,38.0,29.9,3.2,4.8,40.0,1.6,4.04,05
2009-05-27,48.8,60.0,32.8,30.0,3.4,5.1,338.0,1.62,4.06,05
2009-05-28,49.7,60.0,34.6,30.0,2.9,4.3,19.0,1.66,4.1,05
2009-05-29,53.1,56.0,35.2,30.1,3.1,4.8,349.0,1.66,4.1,05
2009-05-30,53.9,58.0,38.3,29.9,3.1,5.0,287.0,1.68,4.12,05
2009-05-31,56.3,52.0,37.8,29.8,6.0,8.6,277.0,1.68,4.12,05
2009-06-01,50.6,77.0,43.3,29.8,2.3,3.4,301.0,0.13,4.28,06
2009-06-02,42.2,88.0,38.9,30.1,3.4,5.3,75.0,0.24,4.39,06
2009-06-03,48.3,75.0,40.4,30.1,4.7,6.5,43.0,0.26,4.41,06
2009-06-04,57.1,51.0,35.2,29.9,4.9,7.8,300.0,0.26,4.41,06
2009-06-05,56.5,53.0,35.9,29.7,4.8,7.3,251.0,0.26,4.41,06
2009-06-06,59.0,23.0,20.7,29.5,14.4,20.3,266.0,0.27,4.42,06
2009-06-07,48.4,47.0,27.2,29.7,6.9,10.1,265.0,0.27,4.42,06
2009-06-08,47.8,75.0,39.9,29.8,4.6,6.5,32.0,0.33,4.48,06
2009-06-09,50.9,65.0,37.7,29.8,4.3,6.4,278.0,0.33,4.48,06
2009-06-10,51.3,69.0,40.0,29.7,4.8,7.2,32.0,0.64,4.79,06
2009-06-11,48.9,72.0,39.3,29.8,5.3,7.5,258.0,0.75,4.9,06
2009-06-12,49.3,70.0,39.1,29.9,3.7,5.7,350.0,0.8,4.95,06
2009-06-13,55.4,56.0,38.7,29.8,3.6,5.6,294.0,0.8,4.95,06
2009-06-14,55.1,52.0,36.1,29.7,4.4,6.8,174.0,0.81,4.96,06
2009-06-15,49.9,68.0,38.3,29.8,4.4,6.7,272.0,0.92,5.07,06
2009-06-16,51.3,66.0,37.3,29.9,3.1,4.7,300.0,0.93,5.08,06
2009-06-17,57.3,50.0,35.6,29.7,4.6,7.1,277.0,0.93,5.08,06
2009-06-18,58.7,39.0,32.4,29.6,7.0,10.4,266.0,0.93,5.08,06
2009-06-19,58.1,44.0,35.8,29.7,5.2,8.1,255.0,0.93,5.08,06
2009-06-20,54.5,70.0,44.6,29.6,2.2,3.6,248.0,0.98,5.13,06
2009-06-21,61.4,41.0,36.0,29.6,8.2,11.5,243.0,0.98,5.13,06
2009-06-22,61.2,52.0,38.9,29.7,5.2,7.7,208.0,0.98,5.13,06
2009-06-23,60.0,60.0,43.1,29.8,3.5,4.9,64.0,1.01,5.16,06
2009-06-24,62.8,53.0,42.9,29.9,4.3,5.6,26.0,1.01,5.16,06
2009-06-25,61.0,66.0,48.5,29.8,4.9,5.6,4.0,1.3,5.45,06
2009-06-26,61.1,62.0,46.7,29.7,5.9,6.7,334.0,1.42,5.57,06
2009-06-27,63.9,43.0,39.0,29.9,8.5,8.6,357.0,1.42,5.57,06
2009-06-28,62.0,56.0,43.6,29.9,7.0,8.3,22.0,1.42,5.57,06
2009-06-29,62.5,49.0,39.7,29.8,4.7,5.7,21.0,1.43,5.58,06
2009-06-30,63.0,37.0,31.5,29.8,3.9,5.1,25.0,1.43,5.58,06
2009-07-01,62.0,46.0,37.5,29.8,4.9,6.0,359.0,0.04,5.61,07
2009-07-02,58.8,75.0,50.0,29.9,4.6,4.6,0.0,0.29,5.86,07
2009-07-03,60.9,68.0,49.1,29.9,5.2,5.8,334.0,0.39,5.96,07
2009-07-04,56.2,79.0,49.7,30.0,4.8,5.3,12.0,0.78,6.36,07
2009-07-05,55.7,75.0,47.1,30.0,4.0,5.1,36.0,0.78,6.36,07
2009-07-06,59.2,56.0,40.5,29.8,5.1,6.7,348.0,0.78,6.36,07
2009-07-07,62.5,51.0,40.0,29.7,4.6,5.8,337.0,0.78,6.36,07
2009-07-08,65.5,43.0,34.8,29.7,8.7,10.1,315.0,0.78,6.36,07
2009-07-09,60.4,55.0,43.1,29.8,9.8,10.1,4.0,0.78,6.36,07
2009-07-10,61.8,55.0,40.2,29.9,7.6,8.1,358.0,0.78,6.36,07
2009-07-11,66.1,49.0,41.9,29.9,5.0,6.0,10.0,0.78,6.36,07
2009-07-12,67.1,43.0,42.4,29.9,8.1,8.1,358.0,0.78,6.36,07
2009-07-13,63.5,54.0,42.7,29.8,10.9,12.0,344.0,0.8,6.38,07
2009-07-14,68.1,35.0,35.8,29.7,12.7,12.7,0.0,0.81,6.39,07
2009-07-15,64.9,37.0,31.9,29.9,12.7,12.7,0.0,0.81,6.39,07
2009-07-16,64.0,34.0,31.6,29.9,7.7,8.0,358.0,0.81,6.39,07
2009-07-17,63.0,38.0,34.6,30.0,3.3,3.7,7.0,0.81,6.39,07
2009-07-18,61.2,58.0,44.6,30.0,7.5,7.6,2.0,0.81,6.39,07
2009-07-19,66.4,43.0,37.9,29.9,3.8,3.8,360.0,0.81,6.39,07
2009-07-20,70.0,34.0,38.6,29.7,4.5,5.9,334.0,0.81,6.39,07
2009-07-21,59.5,74.0,50.5,29.9,2.6,3.1,39.0,0.82,6.4,07
2009-07-22,59.9,64.0,46.1,29.9,3.9,4.5,18.0,1.18,6.76,07
2009-07-23,63.5,51.0,42.3,29.9,4.1,5.1,26.0,1.25,6.83,07
2009-07-24,65.5,44.0,38.5,29.8,6.4,7.3,7.0,1.25,6.83,07
2009-07-25,59.3,72.0,49.6,29.9,7.4,7.9,11.0,1.7,7.28,07
2009-07-26,60.1,73.0,50.3,30.0,5.1,5.8,1.0,1.7,7.28,07
2009-07-27,56.9,72.0,47.0,30.0,4.5,5.1,13.0,1.88,7.46,07
2009-07-28,53.6,81.0,47.4,29.9,3.5,3.9,19.0,2.01,7.59,07
2009-07-29,49.8,88.0,46.3,29.9,4.8,5.1,19.0,2.25,7.83,07
2009-07-30,48.1,86.0,43.9,30.0,5.1,5.3,6.0,2.35,7.93,07
2009-07-31,55.0,66.0,41.1,29.9,5.8,7.1,338.0,2.37,7.95,07
2009-08-01,57.5,64.0,43.5,30.0,4.9,6.2,14.0,0.01,7.95,08
2009-08-02,65.3,39.0,34.5,29.8,5.5,7.5,322.0,0.01,7.95,08
2009-08-03,64.4,38.0,34.4,29.8,6.0,7.6,333.0,0.01,7.95,08
2009-08-04,61.9,51.0,40.7,29.9,5.3,6.2,4.0,0.06,8.0,08
2009-08-05,62.0,56.0,44.6,29.9,7.4,8.5,23.0,0.3,8.24,08
2009-08-06,61.2,73.0,50.7,29.8,9.8,10.5,0.0,0.3,8.24,08
2009-08-07,65.2,48.0,41.3,29.6,8.4,24.5,319.0,0.3,8.24,08
2009-08-08,63.6,30.0,29.0,29.6,5.6,55.9,321.0,0.3,8.24,08
2009-08-09,58.0,53.0,39.2,29.9,6.1,7.5,350.0,0.3,8.24,08
2009-08-10,60.5,57.0,43.2,30.0,4.3,5.3,26.0,0.3,8.24,08
2009-08-11,61.1,41.0,33.7,30.0,5.6,6.4,6.0,0.3,8.24,08
2009-08-12,64.5,31.0,27.9,29.9,6.0,7.5,340.0,0.3,8.24,08
2009-08-13,63.1,35.0,33.4,29.8,2.1,2.9,36.0,0.3,8.24,08
2009-08-14,62.3,53.0,44.5,29.7,1.6,2.0,8.0,0.36,8.3,08
2009-08-15,61.2,41.0,36.9,29.7,6.0,7.1,310.0,0.37,8.31,08
2009-08-16,54.8,48.0,34.5,29.9,5.6,7.2,20.0,0.37,8.31,08
2009-08-17,51.7,67.0,39.8,30.0,3.3,4.3,36.0,0.4,8.34,08
2009-08-18,56.3,53.0,35.3,29.9,5.5,6.5,355.0,0.4,8.34,08
2009-08-19,60.1,36.0,31.1,29.7,8.4,10.6,337.0,0.4,8.34,08
2009-08-20,60.6,50.0,39.8,29.9,5.7,7.0,21.0,0.4,8.34,08
2009-08-21,61.1,46.0,36.6,30.0,4.7,6.1,34.0,0.4,8.34,08
2009-08-22,66.2,38.0,34.1,29.8,3.4,4.3,19.0,0.4,8.34,08
2009-08-23,68.0,36.0,38.1,29.6,5.5,6.6,340.0,0.4,8.34,08
2009-08-24,65.6,43.0,41.0,29.7,5.3,6.9,290.0,0.42,8.36,08
2009-08-25,56.4,78.0,49.0,29.9,3.5,4.2,14.0,0.73,8.67,08
2009-08-26,54.3,69.0,43.0,30.1,4.4,5.0,350.0,0.76,8.7,08
2009-08-27,59.2,48.0,34.2,30.1,5.9,6.6,10.0,0.76,8.7,08
2009-08-28,58.6,49.0,37.5,30.1,3.8,4.9,31.0,0.76,8.7,08
2009-08-29,56.1,60.0,40.6,30.0,2.7,3.7,27.0,0.76,8.7,08
2009-08-30,54.1,72.0,44.6,30.0,2.4,3.1,35.0,0.82,8.76,08
2009-08-31,60.1,54.0,38.8,29.9,3.5,4.9,281.0,0.82,8.76,08
2009-09-01,63.9,40.0,29.9,30.0,5.5,81.0,355.0,0.0,8.77,09
2009-09-02,64.0,29.0,29.3,30.0,6.2,125.2,2.0,0.0,8.77,09
2009-09-03,63.6,44.0,39.3,30.0,4.2,221.3,4.0,0.02,8.79,09
2009-09-04,56.8,59.0,42.0,30.0,4.5,159.1,5.0,0.03,8.8,09
2009-09-05,62.2,44.0,37.4,30.0,7.3,143.9,8.0,0.03,8.8,09
2009-09-06,62.5,52.0,42.7,29.8,7.8,184.7,357.0,0.05,8.82,09
2009-09-07,64.6,44.0,39.0,29.8,4.7,138.6,360.0,0.05,8.82,09
2009-09-08,68.9,23.0,28.9,29.7,5.5,186.3,349.0,0.05,8.82,09
2009-09-09,62.3,56.0,42.0,29.9,3.0,109.7,8.0,0.08,8.85,09
2009-09-10,62.1,46.0,32.9,30.0,1.4,123.8,9.0,0.08,8.85,09
2009-09-11,56.8,42.0,31.8,30.0,3.0,87.1,20.0,0.08,8.85,09
2009-09-12,42.1,75.0,34.6,30.1,0.5,31.6,18.0,0.17,8.94,09
2009-09-13,50.3,70.0,39.3,30.0,4.6,85.5,349.0,0.2,8.97,09
2009-09-14,59.7,53.0,41.0,29.8,1.0,45.1,347.0,0.2,8.97,09
2009-09-15,57.9,55.0,40.9,29.9,0.4,39.9,8.0,0.2,8.97,09
2009-09-16,53.0,71.0,42.9,30.1,0.4,67.0,19.0,0.2,8.97,09
2009-09-17,53.3,64.0,39.4,30.1,0.3,34.1,11.0,0.2,8.97,09
2009-09-18,52.4,59.0,35.8,30.1,1.1,49.5,44.0,0.2,8.97,09
2009-09-19,52.1,52.0,31.2,30.0,3.8,32.2,32.0,0.2,8.97,09
2009-09-20,54.0,48.0,33.4,29.7,11.2,15.8,338.0,0.2,8.97,09
2009-09-21,40.0,67.0,29.2,30.1,9.2,10.5,16.0,0.45,9.22,09
2009-09-22,39.4,51.0,22.5,30.3,9.6,10.3,352.0,0.45,9.22,09
2009-09-23,42.5,55.0,26.2,30.2,10.5,11.7,9.0,0.46,9.23,09
2009-09-24,40.4,74.0,31.8,30.2,2.9,3.6,12.0,0.52,9.29,09
2009-09-25,45.8,68.0,34.5,30.0,4.6,5.4,20.0,0.52,9.29,09
2009-09-26,62.4,23.0,22.3,29.9,9.5,11.9,340.0,0.52,9.29,09
2009-09-27,61.3,26.0,22.9,29.7,10.5,12.5,349.0,0.52,9.29,09
2009-09-28,44.8,57.0,28.4,30.1,4.0,4.8,25.0,0.52,9.29,09
2009-09-29,59.1,32.0,22.4,29.8,9.7,11.7,331.0,0.52,9.29,09
2009-09-30,52.2,40.0,27.2,29.5,16.7,18.6,347.0,0.56,9.33,09
2009-10-01,35.0,37.0,10.8,30.0,15.1,17.8,337.0,0.0,9.33,10
2009-10-02,41.6,26.0,7.4,30.0,10.0,12.4,339.0,0.0,9.33,10
2009-10-03,38.6,45.0,16.6,29.9,4.2,6.1,23.0,0.0,9.33,10
2009-10-04,36.3,77.0,29.0,29.8,2.8,4.3,82.0,0.14,9.47,10
2009-10-05,38.7,66.0,27.4,29.7,7.6,11.3,305.0,0.18,9.51,10
2009-10-06,41.3,30.0,11.1,30.0,12.8,19.0,306.0,0.18,9.51,10
2009-10-07,49.9,29.0,17.5,29.7,8.4,12.2,292.0,0.18,9.51,10
2009-10-08,29.2,83.0,24.4,30.0,3.8,8.6,101.0,0.29,9.62,10
2009-10-09,31.3,77.0,24.6,30.1,5.2,12.9,74.0,0.33,9.66,10
2009-10-10,17.4,80.0,12.3,30.3,3.6,5.5,97.0,0.37,9.7,10
2009-10-11,29.0,77.0,22.2,30.0,5.0,7.8,16.0,0.42,9.75,10
2009-10-12,40.4,69.0,29.2,29.8,3.9,6.0,74.0,0.47,9.8,10
2009-10-13,40.8,66.0,28.0,29.9,4.0,11.7,312.0,0.47,9.8,10
2009-10-14,49.0,51.0,31.1,29.8,13.1,19.3,304.0,0.47,9.8,10
2009-10-15,46.8,49.0,27.9,30.0,9.2,13.8,305.0,0.48,9.81,10
2009-10-16,44.7,51.0,25.7,30.2,3.0,8.1,358.0,0.48,9.81,10
